ts_by_detla_seconds,value_baro,value_rain_day,value_humi_in,value_temp_in,value_humi_out,value_temp_out,value_solar,value_wind,value_MPPT
1568771520.0,1011.7541666666644,0.2031999999999935,72.33333333333333,27.873483333333525,87.5,25.08952777777781,88.02777777777777,1.550000000000016,1440.005555555556
1568772120.0,1011.6942105263406,0.20319999999999305,72.3157894736842,27.891826315790336,86.39473684210526,25.26024210526336,131.26315789473685,1.421052631578954,2262.115789473658
1568772720.0,1011.6719999999999,0.20319999999999266,72.5,27.91947500000125,85.55,25.452774999999466,107.35,1.6874999999999798,1807.1300000000217
1568773320.0,1011.631052631611,0.20319999999999291,72.5,27.945910526314844,84.94736842105263,25.57309999999894,115.57894736842105,1.2315789473684309,1946.2736842104978
1568773920.0,1011.5721739130655,0.20320000000000052,72.17391304347827,27.971019565217638,84.5,25.638900000000476,72.5,1.3500000000000099,1204.8130434782645
1568774520.0,1011.5094999999976,0.20320000000000324,72.0,27.988890000000186,84.25,25.53612000000013,59.9,1.5075000000000167,991.8399999999931
1568775120.0,1011.530999999986,0.20320000000000332,72.0,27.997220000000027,84.55,25.419445000000735,50.2,1.3725000000000032,831.830000000006
1568775720.0,1011.4663888888845,0.2060222222222246,72.0,27.983011111111196,85.22222222222223,25.387350000000563,29.75,1.0999999999999919,407.7444444444441
1568776320.0,1011.5493999999878,0.21589999999999546,72.28,27.968890000000602,85.62,25.237788000000254,21.88,1.4760000000000155,290.0399999999983
1568776920.0,1011.4929999999856,0.21589999999998827,72.5,27.944450000000238,86.15,25.06111500000117,14.95,1.4850000000000114,118.82999999999727
1568777520.0,1011.5594444444422,0.2158999999999896,72.44444444444444,27.910488888888143,86.44444444444444,24.96450277777747,23.61111111111111,1.7250000000000048,348.18333333334783
1568778120.0,1011.6441666666594,0.21589999999998943,72.0,27.885816666665974,84.44444444444444,24.962949999998635,21.5,1.8750000000000138,294.2944444444478
1568778720.0,1011.6924999999931,0.215899999999988,71.95,27.8444550000004,84.0,24.902795000001017,22.25,1.5524999999999993,310.2699999999924
1568779320.0,1011.7029999999797,0.21589999999998852,71.5,27.800000000000818,84.25,24.81111000000069,21.05,1.5074999999999898,291.4000000000045
1568779920.0,1011.7583333333075,0.21589999999998943,71.5,27.776250000000353,84.5,24.816341666666194,19.5,1.0750000000000257,242.5777777777827
1568780520.0,1011.8678947368156,0.2158999999999888,71.63157894736842,27.72805263157872,84.13157894736842,24.871342105262713,16.13157894736842,1.2078947368421082,182.03684210526427
1568781120.0,1011.9766666666666,0.21589999999998977,72.0,27.709866666666656,83.52777777777777,24.91822777777873,15.13888888888889,0.9000000000000029,154.45555555555313
1568781720.0,1012.0694999999874,0.21589999999998805,71.55,27.672240000000215,84.1,24.95277500000048,8.65,1.2600000000000042,60.16999999999954
1568782320.0,1012.1770000000004,0.21589999999998843,71.5,27.638899999999488,84.95,24.902780000000114,15.1,1.3499999999999823,154.5800000000003
